番号,slug,検索意図,メインKW,Vol,KD,品質点,内部リンク数,状態,公開URL,公開日,表示回数,CTR,平均順位,最終計測日
01,impact-driver-toha-denki-drill-chigai,情報収集,インパクトドライバー とは,,,74,2,入稿待ち,,,,,,
02,impact-driver-rental-vs-purchase,比較検討,インパクトドライバー レンタル 購入,,,75,1,入稿待ち,,,,,,
03,diy-shelf-beginner-complete-guide,情報収集,棚 DIY 初心者,,,77,2,入稿待ち,,,,,,
04,wood-trimmer-how-to-use,情報収集,トリマー 工具,90500※実効10%,29,75,1,入稿待ち,,,,,,
05,pressure-washer-rental-guide,購買意図,高圧洗浄機 レンタル,3600,23,76,1,入稿待ち,,,,,,
06,homecenter-tool-rental-compare,比較検討,コーナン 工具 レンタル,2900,18,76,4,入稿待ち,,,,,,
07,electric-sander-how-to-use,情報収集,電動サンダー,3600,33,77,1,入稿待ち,,,,,,
08,jigsaw-how-to-use-curve-cut,情報収集,ジグソー 工具,2400,22,77,1,入稿待ち,,,,,,
09,tacker-how-to-use-beginner,情報収集,タッカー 使い方,1300,27,77,1,入稿待ち,,,,,,
10,electric-planer-how-to-use,情報収集,電気カンナ,1300,14,77,1,入稿待ち,,,,,,
11,laser-level-how-to-use-diy,情報収集,レーザー墨出し器 使い方,350,10,77,1,入稿待ち,,,,,,
12,hammer-drill-how-to-use,情報収集,ハンマードリル 使い方,720,12,77,1,入稿待ち,,,,,,
13,komeri-tool-rental-guide,比較検討,コメリ レンタル 工具,2400,27,76,1,入稿待ち,,,,,,
14,nafco-dcm-keyod2-tool-rental-compare,比較検討,ナフコ レンタル 工具,880,26,76,1,入稿待ち,,,,,,
15,trimmer-rental-vs-purchase,比較検討,トリマー レンタル,210,25,74,1,入稿待ち,,,,,,
16,electric-driver-drill-rental,購買意図,電動ドライバー レンタル,720,22,76,1,入稿待ち,,,,,,
17,impact-driver-rental-how-to,購買意図,インパクトドライバー レンタル,590,44,74,1,入稿待ち,,,,,,
19,impact-wrench-rental,購買意図,インパクトレンチ レンタル,210,12,80,0,入稿待ち,,,,,,
20,core-drill-rental,購買意図,コアドリル レンタル,210,10,78,1,入稿待ち,,,,,,
21,angle-impact-driver-how-to,情報収集,アングルインパクト,720,21,80,1,入稿待ち,,,,,,
22,hikoki-tool-rental-guide,情報収集,ハイコーキ ビス打ち機,480,19,76,2,入稿待ち,,,,,,
